Session,Cell,NumSignificant,SignificantEvents
session_2024_04_23_1_MAT008,cell0,0,""
session_2024_04_23_1_MAT008,cell1,1,"rewardTime"
session_2024_04_23_1_MAT008,cell2,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell3,0,""
session_2024_04_23_1_MAT008,cell4,0,""
session_2024_04_23_1_MAT008,cell5,0,""
session_2024_04_23_1_MAT008,cell6,0,""
session_2024_04_23_1_MAT008,cell7,0,""
session_2024_04_23_1_MAT008,cell8,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell9,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell10,0,""
session_2024_04_23_1_MAT008,cell11,0,""
session_2024_04_23_1_MAT008,cell12,0,""
session_2024_04_23_1_MAT008,cell13,0,""
session_2024_04_23_1_MAT008,cell14,0,""
session_2024_04_23_1_MAT008,cell15,0,""
session_2024_04_23_1_MAT008,cell16,0,""
session_2024_04_23_1_MAT008,cell17,0,""
session_2024_04_23_1_MAT008,cell18,0,""
session_2024_04_23_1_MAT008,cell19,0,""
session_2024_04_23_1_MAT008,cell20,0,""
session_2024_04_23_1_MAT008,cell21,0,""
session_2024_04_23_1_MAT008,cell22,0,""
session_2024_04_23_1_MAT008,cell23,0,""
session_2024_04_23_1_MAT008,cell24,0,""
session_2024_04_23_1_MAT008,cell25,0,""
session_2024_04_23_1_MAT008,cell26,0,""
session_2024_04_23_1_MAT008,cell27,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell28,0,""
session_2024_04_23_1_MAT008,cell29,0,""
session_2024_04_23_1_MAT008,cell30,1,"rewardTime"
session_2024_04_23_1_MAT008,cell31,0,""
session_2024_04_23_1_MAT008,cell32,0,""
session_2024_04_23_1_MAT008,cell33,1,"rewardTime"
session_2024_04_23_1_MAT008,cell34,0,""
session_2024_04_23_1_MAT008,cell35,0,""
session_2024_04_23_1_MAT008,cell36,1,"rewardTime"
session_2024_04_23_1_MAT008,cell37,0,""
session_2024_04_23_1_MAT008,cell38,0,""
session_2024_04_23_1_MAT008,cell39,0,""
session_2024_04_23_1_MAT008,cell40,0,""
session_2024_04_23_1_MAT008,cell41,1,"rewardTime"
session_2024_04_23_1_MAT008,cell42,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell43,1,"rewardTime"
session_2024_04_23_1_MAT008,cell44,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell45,0,""
session_2024_04_23_1_MAT008,cell46,0,""
session_2024_04_23_1_MAT008,cell47,0,""
session_2024_04_23_1_MAT008,cell48,0,""
session_2024_04_23_1_MAT008,cell49,0,""
session_2024_04_23_1_MAT008,cell50,0,""
session_2024_04_23_1_MAT008,cell51,1,"rewardTime"
session_2024_04_23_1_MAT008,cell52,1,"rewardTime"
session_2024_04_23_1_MAT008,cell53,0,""
session_2024_04_23_1_MAT008,cell54,0,""
session_2024_04_23_1_MAT008,cell55,0,""
session_2024_04_23_1_MAT008,cell56,0,""
session_2024_04_23_1_MAT008,cell57,0,""
session_2024_04_23_1_MAT008,cell58,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell59,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell60,0,""
